title,objectid,filename,format,filesize,creator,contributor,description,ingredients,preptime,cooktime,serving,serving,difficulty,subject,type,format/genre,date,date (digitized),source,relation,filedate,transcription,rights,,
Homemade Noodles,ns-001,ns-001.jpg,JPEG image,29 KB,Paula Smith,"Johnson, Lacey",Handwritten homemade egg noodle recipe traditionally prepared for Easter meals.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Handwritten,PDF; Side Dish,circa 1980,2026-03-30,Handwritten index card,"NS-001-P, NS-001-P2, NS-001-T",2026-04,Handwritten noodle recipe with ingredient list and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles,ns-001-t,ns-001-t.jpg,JPEG image,37 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Text,PDF; Side Dish,circa 1980,2026-03-30,Text,"NS-001, NS-001-P2, NS-001-T, NS-001-P3",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles Being Cut,ns-001-p2,ns-001-p2.jpg,JPEG image,135 KB,Paula Smith,"Johnson, Lacey",Photograph of  cutting the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P, NS-001-T, NS-001-P3, NS-001-P2",2026-04,Rolled out noodles ready to be cut,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles Drying,ns-001-p3,ns-001-p3.jpg,JPEG image,199 KB,Paula Smith,"Johnson, Lacey",Photograph of rolling out the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P2, NS-001-T, NS-001-P",2026-04,Noodles drying,"CC Lacey Johnson, 2026. Used with family permission",,
Coconut White Cake,ns-002,ns-002.jpg,JPEG image,26 KB,Paula Smith,"Johnson, Lacey","Handwritten coconut cake recipe with coconut cream cheese frosting, including cake mix base and flavored extracts","White cake mix, Egg whites, Almond extract, Coconut extract, Crisco, Cream cheese, Powdered sugar, Coconut",0:20,0:25,10,1 slice,Medium,"Desserts, Cake, Easter, Family traditions, Midwest cooking", Handwritten,PDF; Dessert,circa 1980,2026-03-30,Handwritten index card,NS-002-T,2026-04,Handwritten frosting and cake recipe with ingredient list and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",, 
Coconut White Cake,ns-002-t,ns-002-t.jpg,JPEG image,35 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten coconut frosting and white cake recipe for accessibility.,"White cake mix, Egg whites, Almond extract, Coconut extract, Crisco, Cream cheese, Powdered sugar, Coconut",0:20,0:25,10,1 slice,Medium,"Desserts, Cake, Easter, Family traditions, Midwest cooking",Text,PDF; Dessert,circa 1985,2026-03-30,Text,NS-002,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies,ns-003,ns-003.jpg,JPEG image,26 KB,Paula Smith,"Johnson, Lacey",Handwritten Sugar Cookies,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Handwritten,PDF; Dessert,circa 1985,2026-04-12,Handwritten index card,NS-003-T; NS-003-P; NS-003-P2,2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies,ns-003-t,ns-003-t.jpg,JPEG image,28 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Text,PDF; Dessert,circa 1985,2026-04-12,Text,NS-003; NS-003-P; NS-003-P2,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies ,ns-003-p,ns-003-p.jpg,JPEG image,147 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,Desserts; Family traditions; Midwest cooking,Photo,PDF; Dessert,circa 1985,2026-04-12,photo,NS-003; NS-003-T; NS-003-P2,2026-04,Cut decorated sugar cookies on table drying,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies on platter for serving,ns-003-p2,ns-003-p2.jpg,JPEG image,168 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,Desserts; Family traditions; Midwest cooking,Photo,PDF; Dessert,circa 1985,2026-04-12,photo,NS-003; NS-003-T; NS-003-P,2026-04,Decorated sugar cookies on serving plate,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004,ns-004.jpg,JPEG image,25 KB,Paula Smith,"Johnson, Lacey","Handwritten Easter Nest recipe traditionally prepared for Easter meals, Sweet shredded wheat nests shaped with melted marshmallows and butter, topped with jelly beans for Easter treats","Margarine, butter, large marshmallows, shredded wheat biscuits, cinnamon, jelly beans",0:15,0:05,24,1 nest,Easy,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Handwritten,PDF; Dessert,circa 1990,2026-04-12,Handwritten index card,NS-004-T; NS-004-P,2026-04,Handwritten recipe listing ingredients and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004-t,ns-004-t.jpg,JPEG image,34 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten Easter Nest recipe for accessibility.,"Margarine, butter, large marshmallows, shredded wheat biscuits, cinnamon, jelly beans",0:15,0:05,12,1 nest,Easy,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Text,PDF; Dessert,circa 1990,2026-04-12,Text,NS-004; NS-004-P,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004-p,ns-004-p.jpg,JPEG image,185 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared Easter Nests using the original recipe,,,,,,,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Photo,PDF; Dessert,circa 1990,2026-04-12,photo,NS-004-T; NS-004,2026-04,"prepared Easter Nest Treats, ready to be wrapped","CC Lacey Johnson, 2026. Used with family permission",,
Oven Baked Brisket,ns-005-t,ns-005-t.jpg,JPEG image,27 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten oven baked brisket recipe for accessibility.,"Brisket, celery salt, garlic powder, onion powder, liquid smoke, worcestershire sauce",0:20,4:00,8-12,4 oz.,Medium,"Brisket, Easter, Main dishes, Family traditions, Midwest cooking",Text,PDF; Main Dish,circa 1985,2026-04-12,Photo,NS-005,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Oven Baked Brisket,ns-005,ns-005.jpg,JPEG image,23 KB,Paula Smith,"Johnson, Lacey",Handwritten oven baked brisket recipe traditionally prepared for holiday meals.,"Brisket, celery salt, garlic powder, onion powder, liquid smoke, worcestershire sauce",0:20,4:00,8-12,4 oz.,Medium,"Brisket, Easter, Main dishes, Family traditions, Midwest cooking",Handwritten,PDF; Main Dish,circa 1985,2026-04-12,Photo,NS-005-T,2026-04,Handwritten recipe for oven-baked brisket with seasoning and slow roasting instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Parkerhouse Rolls,ns-006,ns-006.jpg,JPEG image,20 KB,Paula Smith,"Johnson, Lacey",Handwritten Parker House rolls recipe prepared using a bread machine and baked until golden brown,"Lukewarm milk, Warm water, Margarine, Egg, Flour, Salt, Sugar",1:30,0:20,12,1 roll,Medium,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Handwritten,PDF; Bread,circa 1980,2026-04-12,Handwritten recipe card,"NS-006-T, NS-006-P",2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Parkerhouse Rolls,ns-006-t,ns-006-t.jpg,JPEG image,35 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten Parkerhouse Rolls recipe for accessibility.,"Lukewarm milk, Warm water, Margarine, Egg, Flour, Salt, Sugar",1:30,0:20,12,1 roll,Medium,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Text,PDF; Bread,circa 1980,2026-04-12,Text,"NS-006, NS-006-P, NS-006-P2",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Parkerhouse Rolls being cut,ns-006-p,ns-006-p.jpg,JPEG image,146 KB,Paula Smith,"Johnson, Lacey",photograph of rolls being cut from the dough,,,,,,,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Photo,PDF; Bread,circa 1980,2026-04-12,Photo,"NS-006-T, NS-006, NS-006-P2",2026-04,Cutting the rolls,"CC Lacey Johnson, 2026. Used with family permission",,
Parkerhoue Rolls ready to bake,ns-006-p2,ns-006-p2.jpg,JPEG image,136 KB,Paula Smith,"Johnson, Lacey",photograph of rolls prepared to bake,,,,,,,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Photo,PDF; Bread,circa 1980,2026-04-12,Photo,"NS-006-T, NS-006, NS-006-P",2026-04,Rolls ready to bake,"CC Lacey Johnson, 2026. Used with family permission",,
Dressing,ns-007,ns-007.jpg,JPEG image,33 KB,Paula Smith,"Johnson, Lacey","Handwritten dressing recipe made with bread, turkey broth, and seasonings, baked until set for holiday meals","Bread, Butter, Onion, Celery, Turkey broth, Cream of chicken soup, Poultry seasoning, Celery salt, Seasoned salt, Sage, Pepper, Eggs",0:30,0:50,12,1 scoop,Medium,"Side dishes, Dressing, Easter, Holiday meals, Family traditions, Midwest cooking written Dressing recipe",Handwritten,"PDF, Side Dish",circa 1960,2026-04-12,Handwritten recipe card,"NS-007-T, NS-007-P, NS-007-P2",2026-04,Handwritten dressing recipe with ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Dressing,ns-007-t,ns-007-t.jpg,JPEG image,35 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten Parkerhouse Rolls recipe for accessibility.,"Bread, Butter, Onion, Celery, Turkey broth, Cream of chicken soup, Poultry seasoning, Celery salt, Seasoned salt, Sage, Pepper, Eggs",0:30,0:50,12,1 scoop,Medium,"Side dishes, Dressing, Easter, Holiday meals, Family traditions, Midwest cooking written Dressing recipe",Text,"PDF, Side Dish",circa 1960,2026-04-12,Text,"NS-007, NS-007-P, NS-007-P2",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Dressing Ingredients,ns-007-p,ns-007-p.jpg,JPEG image,154 KB,Paula Smith,"Johnson, Lacey",photograph of rolls being cut from the dough,,,,,,,,Photo,"PDF, Side Dish",circa 1960,2026-04-12,Photo,"NS-007-T, NS-007, NS-007-P2",2026-04,Dressing ingredients,"CC Lacey Johnson, 2026. Used with family permission",,
Dressing ready to bake,ns-007-p2,ns-007-p2.jpg,JPEG image,137 KB,Paula Smith,"Johnson, Lacey",photograph of rolls prepared to bake,,,,,,,,photo,"PDF, Side Dish",circa 1960,2026-04-12,Photo,"NS-007-T, NS-007-P, NS-007",2026-04,Dressing baking in oven,"CC Lacey Johnson, 2026. Used with family permission",,
Green Beans,ns-008,ns-008.jpg,JPEG image,19 KB,Paula Smith,"Johnson, Lacey",Handwritten green beans recipe for holiday meals,"cut green beans from can, beef bouillon cube, bacon grease, pepper to taste",0:05,1:00,8,1/2 cup,Easy,"Side dishes, green beans, Easter, Holiday meals, Family traditions, Midwest cooking, written recipe",Handwritten,"PDF, Side Dish",circa mid 20th century,2026-04-12,Handwritten recipe card,NS-008-T,2026-04,Handwritten dressing recipe with ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Green Beans,ns-008-t,ns-008-t.jpg,JPEG image,31 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten green beans recipe for accessibility.,"cut green beans from can, beef bouillon cube, bacon grease, pepper to taste",0:05,1:00,8,1/2 cup,Easy,"Side dishes, green beans, Easter, Holiday meals, Family traditions, Midwest cooking, written recipe",Text,"PDF, Side Dish",circa mid 20th century,2026-04-12,Text,NS-008,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Deviled Eggs,ns-009,ns-009.jpg,JPEG image,25 KB,Paula Smith,"Johnson, Lacey",Handwritten classic deviled eggs made with a creamy filling of eggs,"Eggs, Miracle Whip, Mustard, Sugar, Vinegar, Salt, Pepper, Paprika",0:25,0:10,12,2 halves,Easy,"Appetizers, Side dishes, deviled eggs, Easter, Holiday meals, Family traditions, Midwest cooking, written recipe",Handwritten,"PDF, Appetizer",circa 1970,2026-04-12,Handwritten recipe card,NS-009-T,2026-04,Handwritten deviled egg recipe with ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Deviled Eggs,ns-009-t,ns-009-t.jpg,JPEG image,31 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten deviled eggs recipe for accessibility.,"Eggs, Miracle Whip, Mustard, Sugar, Vinegar, Salt, Pepper, Paprika",0:25,0:10,12,2 halves,Esay,"Appetizers, Side dishes, deviled eggs, Easter, Holiday meals, Family traditions, Midwest cooking, written recipe",Text,"PDF, Appetizer",circa 1970,2026-04-12,Text,NS-009,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Turkey,ns-010,ns-010.jpg,JPEG image,25 KB,Paula Smith,"Johnson, Lacey","Handwritten Oven-roasted turkey recipe baked in a cooking bag with celery, onion, and butter, traditionally prepared for holiday meals.","Turkey (15–18 lb), Celery, Onion, Butter",0:30,4:30,12,1 serving,Medium,"Main dishes, Turkey, Easter, Holiday meals, Family traditions, Midwest cooking",Handwritten,"PDF, Main Dish",circa 1980,2026-04-12,Handwritten recipe card,NS-010-T.pdf,2026-04,Handwritten oven baked turkey recipe with ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Turkey,ns-010-t,ns-010-t.jpg,JPEG image,33 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten oven baked turkey recipe for accessibility.,"Turkey (15–18 lb), Celery, Onion, Butter",0:30,4:30,12,1 serving,Medium,"Main dishes, Turkey, Easter, Holiday meals, Family traditions, Midwest cooking",Text,"PDF, Main Dish",circa 1980,2026-04-12,Text,NS-010.pdf,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Candied Sweet Potatoes,ns-011,ns-011.jpg,JPEG image,26 KB,Paula Smith,"Johnson, Lacey"," Handwritten, Candied sweet potatoes baked with butter and brown sugar, creating a sweet side dish commonly served at Easter meals.","Sweet potatoes, Butter, Brown sugar",0:15,0:30,8,1 scoop,Easy,"Side dishes, Sweet potatoes, Easter, Holiday meals, Family traditions, Midwest cooking Handwritten",Handwritten,"PDF, Side Dish",circa 1970,2026-04-12,Handwritten recipe card,NS-011-T,2026-04,Handwritten recipe for candied sweet potatoes with baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Candied Sweet Potatoes,ns-011-t,ns-011-t.jpg,JPEG image,32 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten Candied Sweet Potatoes recipe for accessibility.,"Sweet potatoes, Butter, Brown sugar",0:15,0:30,8,1 scoop,Easy,"Side dishes, Sweet potatoes, Easter, Holiday meals, Family traditions, Midwest cooking Handwritten",Text,"PDF, Side Dish",circa 1970,2026-04-12,Text,NS-011,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Colby Jack Mac & Cheese,ns-012,ns-012.jpg,JPEG image,27 KB,Paula Smith,"Johnson, Lacey","Handwritten baked macaroni and cheese recipe made with Colby Jack cheese, layered and baked until creamy","Elbow macaroni, Salt, Butter, Colby Jack cheese, Half and half",0:20,0:20,10,1/4 cup,Easy,"Side dishes, Pasta, Mac and cheese, Easter, Family traditions, Midwest cooking","Handwritten PDF, Side Dish","PDF, Side Dish",circa 1980,2026-04-12,Handwritten recipe card,NS-012-T,2026-04,Handwritten recipe for candied sweet potatoes with baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Colby Jack Mac & Cheese,ns-012-t,ns-012-t.jpg,JPEG image,30 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten colby Jack Mac & Cheese recipe for accessibility.,"Elbow macaroni, Salt, Butter, Colby Jack cheese, Half and half",0:20,0:20,10,1/4 cup,Easy,"Side dishes, Pasta, Mac and cheese, Easter, Family traditions, Midwest cooking",Text,"PDF, Side Dish",circa 1980,2026-04-12,Text,NS-012,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Mashed Potatoes,ns-013,ns-013.jpg,JPEG image,22 KB,Paula Smith,"Johnson, Lacey","Handwritten mashed potatoes recipe made with red potatoes, butter, and half and half, mashed until smooth","Red potatoes, Butter, Half and half, Salt, Pepper",0:20,0:25,10-12,1 serving,Easy,"Side dishes, Potatoes, Easter, Holiday meals, Family traditions, Midwest cooking",Handwritten,"PDF, Side Dish",circa 1980,2026-03-30,Handwritten recipe card,NS-013-T,2026-04,Handwritten recipe for mashed potatoes with baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Mashed Potatoes,ns-013-t,ns-013-t.jpg,JPEG image,35 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten mashed potatoes recipe for accessibility.,"Red potatoes, Butter, Half and half, Salt, Pepper",0:20,0:25,10-12,1 serving,Easy,"Side dishes, Potatoes, Easter, Holiday meals, Family traditions, Midwest cooking",Handwritten,"PDF, Side Dish",circa 1980,2026-03-30,Text,NS-013,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,